t,theta,omega,drive_force_c
0.0,0.2,0.0,0.5
0.01,0.20001506369170882,0.0030124209668116733,0.5
0.02,0.2000602407627468,0.006022541287795191,0.5
0.03,0.20013550421822995,0.009029567121256278,0.5
0.04,0.20024081913717692,0.012032705476622238,0.5
0.05,0.20037614269430043,0.015031164567564821,0.5
0.06,0.2005414241600071,0.018024153812000253,0.5
0.07,0.20073660490039746,0.02101088383208921,0.5
0.08,0.200961618377266,0.023990566454236806,0.5
0.09,0.20121639015409176,0.026962414747852707,0.5
0.1,0.2015008379972607,0.029925643745814585,0.5
0.11,0.2018148717550594,0.03287946981033993,0.5
0.12,0.20215839346014236,0.035823111231920356,0.5
0.13,0.2025312973797473,0.038755788538575565,0.5
0.14,0.20293347001569528,0.04167672449585335,0.5
0.15,0.20336479010439076,0.04458514410682958,0.5
0.16,0.20382512861682148,0.047480274612108235,0.5
0.17,0.20431434877505714,0.05036134555997578,0.5
0.18,0.20483230619888954,0.053227589513299575,0.5
0.19,0.2053788487145965,0.056078241354388464,0.5
0.2,0.2059538165467857,0.058912538989352684,0.5
0.21,0.20655704237509742,0.06172972357379103,0.5
0.22,0.20718835133420474,0.06452903951279088,0.5
0.23,0.20784756101381338,0.06730973446092813,0.5
0.24,0.20853448145866177,0.07007105932226723,0.5
0.25,0.20924891519925348,0.07281226834640447,0.5
0.26,0.2099906574344096,0.07553261979359716,0.5
0.27,0.21075949578149644,0.07823137524590472,0.5
0.28,0.2115552105536728,0.08090780034173525,0.5
0.29,0.21237757481880074,0.0835611649464413,0.5
0.3,0.21322635439944573,0.0861907431523199,0.5
0.31,0.21410130787287646,0.08879581327861258,0.5
0.32,0.21500218657106496,0.0913756578715053,0.5
0.33,0.21592873463133228,0.09392956382744673,0.5
0.34,0.21688068919881268,0.09645682298984784,0.5
0.35000000000000003,0.21785778013690024,0.0989567315082003,0.5
0.36,0.2188597303840022,0.10142859056665322,0.5
0.37,0.2198862560076474,0.10387170650506224,0.5
0.38,0.22093706620448633,0.10628539081898945,0.5
0.39,0.222011863300291,0.10866896015970348,0.5
0.4,0.22311034274995506,0.11102173633417944,0.5
